,yyyyq,r,logDP,logDY,logEP,logDE,svar,b/m,ntis,tbl,lty,ltr,tms,dfy,dfr,lagINFL
223,19264,0.014359294471034937,-2.9730123516104965,-2.966318388347698,-2.386837290602719,-0.5861750610077776,0.003164354,0.441475827,0.050876177,0.0307,0.0354,0.034368833,0.004699999999999999,0.010000000000000002,-0.013226993000000003,-0.011299435
224,19271,0.040385693871848476,-2.9765350967384903,-2.9444389791664407,-2.445078688279091,-0.5314564084593992,0.001681422,0.469765117,0.046356576,0.032,0.0331,0.04208006,0.0010999999999999968,0.0092,-0.021137349000000003,0.011428571
225,19272,0.04519718852522059,-3.0073088413829887,-2.9487555326314143,-2.531329948947166,-0.47597889243582253,0.001818899,0.452385249,0.058821916,0.0307,0.0334,0.003422828,0.0026999999999999975,0.0097,0.005290016000000001,-0.02259887
226,19273,0.15754012389426217,-3.129096985621415,-2.9802801689950695,-2.70775852835696,-0.4213384572644545,0.002825543,0.380586062,0.094612977,0.0268,0.033,0.014460748,0.006200000000000001,0.008799999999999995,0.009169919,0.017341041
227,19274,0.03169958336891211,-3.1326669593102214,-3.1027796773040413,-2.766942179851571,-0.3657247794586504,0.003093201,0.37468859,0.076471109,0.0317,0.0316,0.027037841,-9.999999999999593e-05,0.008599999999999997,-0.007816547,-0.017045455
228,19281,0.07401167304720306,-3.1869801169732312,-3.1070245286968836,-2.7882889551740218,-0.3986911617992095,0.002932658,0.363254838,0.054363937,0.0327,0.0317,0.006989191,-0.0010000000000000009,0.008599999999999997,0.006668194,0.0
229,19282,0.0035584759501287727,-3.1651103413352613,-3.161978814767814,-2.7352537801029375,-0.4298565612323236,0.007032296,0.370299948,0.050298789,0.0392,0.0326,-0.004030117,-0.006600000000000002,0.009800000000000003,-0.004765417000000001,-0.011560694
230,19283,0.09195958627669992,-3.24831764752255,-3.140718888211102,-2.790435378809159,-0.4578822687133908,0.003554761,0.32816581,0.027980057,0.0457,0.0346,-0.018306434,-0.011099999999999999,0.009799999999999996,0.028620009000000002,0.0
231,19284,0.1261858992682971,-3.355050779026374,-3.224506998828831,-2.8704483503594855,-0.48460242866688813,0.006279611,0.259666667,0.063068738,0.0426,0.034,0.016511182,-0.008599999999999997,0.009899999999999999,-0.003401833,0.011695906
232,19291,0.03789685138664453,-3.367687602763277,-3.3203652210384837,-2.8766009719545376,-0.49108663080873977,0.007982346,0.27230047,0.079804566,0.046,0.0377,-0.038605055,-0.008300000000000002,0.0109,0.037154333,-0.011560694
